,x,y,z
1,0.0,0.0,-300.36023691902165
2,6.1050932624894685,8.403274347187033,-300.0871541771572
3,9.879371674760055,-3.20991858982409,-300.1190909438512
4,0.0,-10.391471608194864,-300.23382585954994
5,-9.884417027668423,-3.211557881534733,-300.2723604814493
6,-6.106799491705062,8.405622863676685,-300.17102144136874
7,0.0,16.809881361013524,-299.7841137911338
8,12.199514635479208,16.79176992354384,-299.46298986161236
9,15.984265474787177,5.193771971869113,-299.74260426660265
10,19.742581488030016,-6.414420054581274,-299.5139385819533
11,9.883071402989373,-13.602345618378394,-299.8703828548366
12,0.0,-20.773630064257443,-299.733476584003
13,-9.88852589460413,-13.609852786655459,-300.03588206273474
14,-19.762545634868047,-6.420906461839014,-299.8168138798728
15,-15.996092041583793,5.197614781615272,-299.964380233521
16,-12.205388821140591,16.79985532505869,-299.6071842212834
17,-6.104464104459179,25.221803916261212,-299.1075474188698
18,6.103208585735192,25.21661649169327,-299.04602930362756
19,18.27682445620982,25.15594692376113,-298.4978886618824
20,22.0937108083396,13.595192081051195,-299.0161935569537
21,25.866924732907318,1.9884029951863458,-299.0357266065775
22,29.57791812705813,-9.609565911323953,-298.5523359210645
23,19.76546070657148,-16.81739402399391,-299.1406081536641
24,9.890633618034268,-24.003654680186283,-299.2466615721887
25,0.0,-31.131647029177504,-298.85670973566545
26,-9.896360106980781,-24.017552340185677,-299.4199197036647
27,-19.786911811911793,-16.835645644642362,-299.4652601712584
28,-29.62106819052381,-9.623584929740666,-298.9878822021612
29,-25.897289924644475,1.9907371821383324,-299.38676474769517
30,-22.113007974317558,13.6070664411515,-299.2773613239812
31,-18.287476517839565,25.170608261545958,-298.67185859380317
32,-12.180996127090479,33.587378977415334,-298.0642544093658
33,0.0,33.60992187477098,-298.26162871679014
34,12.177171419360297,33.57683288523444,-297.97066529349746
35,24.331668142998147,33.490343654126065,-297.20260141648384
36,28.168354848325077,21.956048741793218,-297.95354101510327
37,31.95896500989211,10.384655628425312,-298.2137430847276
38,35.69668745823984,-1.2048385041221024,-297.97774165172376
39,39.374870956709394,-12.793741023723898,-297.2430813628316
40,29.59564738340677,-20.011967507870775,-298.0560016346288
41,19.763811103543024,-27.20255477916163,-298.3962219957874
42,9.893277758224057,-34.353186579856825,-298.249256156047
43,0.0,-41.45048064282643,-297.6031481575965
44,-9.899124272732939,-34.373487880262395,-298.42550902653073
45,-19.786126222622613,-27.23326890843487,-298.73313814985556
46,-29.641662017510686,-20.043081656199572,-298.5194122733629
47,-39.446216742982685,-12.816922801607513,-297.781674654412
48,-35.75157597854265,-1.2066911074700313,-298.43592302615997
49,-31.99799996444154,10.397339536065674,-298.5779839136694
50,-28.193371893569726,21.975548477142507,-298.2181612691619
51,-24.345353527523947,33.50918034991339,-297.3697634811047
52,-18.279993022559474,42.02019309257414,-296.6401412729277
53,-6.102577724790333,42.07024089145675,-297.0976853458819
54,6.101893665403482,42.06552509028441,-297.0643826220761
55,18.274444827694175,42.00743946519216,-296.55010746894203
56,30.359561003820737,41.786699507548825,-295.58878176285873
57,34.3031971145147,30.361010444931928,-296.54681189928795
58,38.11800508720022,18.801187932748846,-297.04258725027256
59,41.889661329474514,7.195160892045721,-297.04776727653547
60,45.59914766603502,-4.39924830489608,-296.5584826656636
61,49.124008208349295,-15.96071763241919,-295.59622650708764
62,39.48278469894326,-23.246677152129656,-296.60673959565366
63,29.672886050487772,-30.455868494558064,-297.1749656268088
64,19.802116353526113,-37.643344061866536,-297.2635612066532
65,9.916846663524144,-44.772050351327806,-296.8592424755283
66,0.0,-51.71808961344953,-295.9740411828037
67,-9.92268882237691,-44.7984262184952,-297.034126580355
68,-19.82479577993506,-37.68645710272521,-297.6040181022742
69,-29.72065066159138,-30.504893476893454,-297.6533298357617
70,-39.5587081352995,-23.291379359096858,-297.1770996421456
71,-49.22377027056728,-15.993130991254564,-296.1965294997736
72,-45.680917198996454,-4.407137147071537,-297.09027875976875
73,-41.95188883419454,7.205849374457874,-297.4890346621772
74,-38.16120744535275,18.822496908727665,-297.3792507302103
75,-34.32938198084101,30.384186098133537,-296.7731767656051
76,-30.37177138653129,41.80350579776935,-295.7076653050093
77,-24.297405864215428,50.3030162401983,-294.8746826930716
78,-12.196587812823113,50.4780435251447,-295.56972885871215
79,0.0,50.51642080014617,-295.7932176367785
80,12.195258541433642,50.4725420668611,-295.5375155552706
81,24.293582418774935,50.29510054585788,-294.8282811443894
82,36.35672629410933,50.04086270621164,-293.6681031166231
83,40.327795169932564,38.648265366606665,-294.83934420068994
84,44.234442776124204,27.196146128825003,-295.5436745191291
85,48.04194734261691,15.610598768500527,-295.7830887520631
86,51.77058707002039,3.998527066021429,-295.5374983318348
87,55.33897136063938,-7.561538047216564,-294.8201731558485
88,58.817249106184526,-19.110636514775443,-293.622364096809
89,49.21781285270338,-26.410834803372918,-294.8356796134119
90,39.54182386210363,-33.67179033942731,-295.60289096566123
91,29.705208931608272,-40.885173199728094,-295.91863303325295
92,19.815207549249077,-48.035352222511094,-295.75328578068707
93,9.918172137499019,-55.02163360597143,-295.110590070069
94,0.0,-61.917800401721045,-293.9733913518347
95,-9.923835442800597,-55.053051119701,-295.27909908020973
96,-19.8375940851984,-48.08962090158977,-296.08741761088885
97,-29.75326261171713,-40.95131254379594,-296.3973362587637
98,-39.61987332360484,-33.738253260129675,-296.1863654795969
99,-49.32324931821196,-26.467413202765275,-295.46728898738576
100,-58.939512272407605,-19.15036171383425,-294.232715659555
101,-55.44395049876969,-7.5758824364890565,-295.3794529350051
102,-51.85459967096299,4.005015821080388,-296.0170925438407
103,-48.10332990392372,15.630544224272954,-296.16100689616667
104,-44.273728747723744,27.220299864180987,-295.80615596288425
105,-40.34730114184512,38.66695897421733,-294.9819537319689
106,-36.35987603738616,50.04519796647684,-293.69354487741117
107,-30.28476338410039,58.55283348272421,-292.75647544893997
108,-18.197801639123337,58.76938459363487,-293.70078116058255
109,-6.101405803419922,58.877437259909705,-294.1696285601188
110,6.101399635625148,58.877377741831154,-294.169331189651
111,18.19827976321262,58.77092868445659,-293.7084977750011
112,30.289021932588195,58.56106699861212,-292.79764194675954
113,42.320342413693545,58.2498589715477,-291.4521689848226
114,46.33874732556275,46.9077837255047,-292.8237333638431
115,50.27693567869299,35.47379292471489,-293.74372602004877
116,54.11606671954372,23.999859459859486,-294.2012741975579
117,57.885259754974584,12.393081312821245,-294.1905324841352
118,61.51802820151498,0.8540979509328112,-293.7085019952385
119,65.04465120868515,-10.708730823092509,-292.7542243560059
120,68.44776699307639,-22.240082380427708,-291.33279184527123
121,58.91277713456592,-29.565916007067237,-292.7347324787304
122,49.26714569844544,-36.84991580736898,-293.7071848191081
123,39.551723086326014,-44.05526075194495,-294.231793552958
124,29.683789162035954,-51.24076639238073,-294.29484024514835
125,19.833781505375736,-58.277207307874704,-293.88358830083394
126,9.923107154149044,-65.22161526984519,-292.9886964759182
127,0.0,-72.03746649078087,-291.6065524555258
128,-9.928448805174853,-65.25672434432146,-293.1464135444501
129,-19.85529593169993,-58.340422720561655,-294.20237454977365
130,-29.73063197675766,-51.321627421045704,-294.7592553034788
131,-39.62938567185317,-44.141766349908444,-294.80953833999905
132,-49.37449944705388,-36.9302122512109,-294.34717657906424
133,-59.041251293049015,-29.630391938495723,-293.3731143415999
134,-68.57935364277573,-22.282837579874517,-291.8928613363673
135,-65.16281719938047,-10.728185271126065,-293.2860681326799
136,-61.61621089986514,0.8554610902259502,-294.17726040797265
137,-57.95953757611542,12.408983998255053,-294.5680350097467
138,-54.16471852867745,24.021435983292516,-294.4657691083455
139,-50.30082971122982,35.490651787549425,-293.883327251752
140,-46.340337795525315,46.90939372632112,-292.8337838589281
141,-42.30355292257206,58.22674986055634,-291.33654294485166
142,-36.21675300563782,66.71985548331557,-290.30468987493185
143,-24.177046559341328,66.9920377785311,-291.48953134579597
144,-12.098407938644485,67.15610797009612,-292.20363651348686
145,0.0,67.21335636418928,-292.4515208317989
146,12.099930660695977,67.16456032903601,-292.24041365995953
147,24.18449488807843,67.0126763093342,-291.57933180374516
148,36.23853975870883,66.7599918537992,-290.4793271924373
149,48.24866097846323,66.40891823575726,-288.95289088702793
150,52.301056119742526,55.102830579557555,-290.52095992043695
151,56.271523352371865,43.71937925120562,-291.6447881987895
152,60.15330828087809,32.2714526743928,-292.3162073111561
153,63.93985280296934,20.776023279938325,-292.52856601797106
154,67.62454553525052,9.249032516678005,-292.2777203832298
155,71.20147836019768,-2.292003499102535,-291.561728636903
156,74.66500618569508,-13.830276021566009,-290.38114278301333
157,78.0100981472653,-25.347049303544555,-288.73903312030774
158,68.52128878363156,-32.69093030955689,-290.3247306449101
159,58.936231280918335,-39.98624245208554,-291.4894289806665
160,49.263354098449476,-47.22063293152523,-292.2178109441858
161,39.51252065650116,-54.384377522146806,-292.49533727662106
162,29.696073389594837,-61.46278999275159,-292.30973069281936
163,19.82783992549675,-68.44513054814581,-291.65007421439395
164,9.923546035660678,-75.31723142501318,-290.50862149661214
165,0.0,-82.06470987165494,-288.88079489560846
166,-9.928419683732852,-75.35422119443801,-290.6512959778932
167,-19.847852250507795,-68.51421251587904,-291.9444379018458
168,-29.740491981502473,-61.55472438927519,-292.74695976576555
169,-39.58728837017293,-54.48728656209752,-293.0488126627637
170,-49.368921906050616,-47.32182333529184,-292.84401259464056
171,-59.06566189300153,-40.074056751082914,-292.12957264762275
172,-68.6587335603931,-32.75650405602731,-290.90708422436256
173,-78.12970009150699,-25.385910379860228,-289.1817161903183
174,-74.77860172482974,-13.851317440315023,-290.82292942650383
175,-71.29935489086773,-2.295154182992003,-291.9625215857626
176,-67.69983335557968,9.259329657942654,-292.6031192798029
177,-63.988478653228135,20.79182331313666,-292.75103212672866
178,-60.17382672981386,32.282460550313615,-292.41591712503373
179,-56.26482835292879,43.7141776642874,-291.6100892679939
180,-52.27001044449769,55.07012178340385,-290.34850796549256
181,-48.19764426136349,66.33869939598375,-288.64736058648526
182,-42.308970811889985,75.23590384719748,-287.38598944372325
183,-30.292041612446344,75.56553363050216,-288.8180064019499
184,-18.20424234671262,75.78782661730143,-289.78334798110285
185,-6.107658932906577,75.90292464536628,-290.28158335836747
186,6.108438411500311,75.91261161472931,-290.31863000469605
187,18.211675688318607,75.8187730744015,-289.9016752685695
188,30.315420903849247,75.62385484415181,-289.04091512564924
189,42.362663980483404,75.33138369442672,-287.75070321686593
190,54.140403507877515,74.5181895025094,-286.1811125231694
191,58.56519977829638,63.58134124609414,-287.80905712988954
192,62.575374612620344,52.219063662470724,-289.1390895425692
193,66.5082614604754,40.766904568673816,-290.025192996766
194,70.34283417482922,29.281733262137255,-290.4569408297539
195,74.112743475227,17.655505725631436,-290.4289711582474
196,77.74529460100594,6.109816777560292,-289.9388414887596
